,business_id,categories,review_count,address,stars,name,Top_0,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10,Top_11,Top_12,Top_13,Top_14,Top_15,Top_16,Top_17,Top_18,Top_19
0,vjTVxnsQEZ34XjYNS-XUpA,"Food, Pretzels, Bakeries, Fast Food, Restaurants",10,"4550 East Cactus Rd, #KSFC-4",3.8,Wetzel's Pretzels,8FtVVxG4ovmIlvOCtKziZw,-X9QS8l7u5R3CswmfZtn-Q,yNPh5SO-7wr8HPpVCDPbXQ,9yESUcIVarhYEabIMj844Q,7MeMGh0SUlF-GuTyruwtcw,DrdVDtc4YdkE613R3PUgoQ,_lD9Y_0OfzZjfz5s-FVwqQ,v2tjswIV3e0c8o7_7MwYmg,-RYIKWBSTaJ21B2UMyzI-Q,rydwhaJPcQhxHlHO0PMZMQ,EM4Qo0Tm40H8Nfk3s8Dy0g,UT9KnZ288uwsz4pxzUVzIQ,cz5vz-893D3LNH3TMQYR1w,scKsrUZvS6Po4hk6Khm9bg,8-_jXGGDFPFAPB4r1x-81w,8NMf2dCmEGGKYR3SbMcnNA,_m_eZv7wNUBCTuv5ShcoaQ,-yQHIYKXH3HAdhh1W52OMQ,N5B7OBTyNGgwU_Y2fwNcyw,NgDyxaeItFSInv7J5paGLQ
1,JcsZvx-4yovFgCXOfd6KMg,"Restaurants, Sandwiches",4,3300 N Central Ave Lbby,2.6,Sam's Deli Mart,OugQjN04sQNahWzYEdTExQ,y5bQlEMCMnYba9I5XRzlzA,g6B5hVt6oZRVO2wR4f0sNw,G8vA6pq4p8KslaURm-q65Q,5OmuCo0kdvWQZXidGuxrsw,-kIscN8I29eXMPkvyyxmRQ,gHutuGMMMH-5Qv9DbemLFw,ml916FaOdF870Jrk0ZQETA,l0rbgnvy2jSeUUEBUK4B8A,nfdNvM0HFCDmnJ5eHMnuNg,01cFftHZc98jNJfJrLEJ5g,2zBCxn7_jHcfxoSjBdHJ3A,VKVDDHKtsdrnigeIf9S8RA,ltQ-ilKwrlBtub7b_7gKww,T45K4FeSLlOX_TjEvMImzg,1_XieTGcu829D7eN_cHiow,5o6qOFzZ4NrJ6bJ39ohCtA,3sOS8wKatd_Uoa9VEJHhrw,MgHWbwuxxb_txhI3lK_bKg,5l8S70308R_Osh3hm2zj3Q
2,2nbibYLTR96Nr2nk-1spdw,"Restaurants, Fast Food, Chicken Wings, Chicken Shop, Breakfast & Brunch",5,1546 E Roosevelt,3.4,Church's Chicken,UVyPQEYavZuj_CBarfWeFg,GWCd4xlTdOwcaaSSu9b9XQ,RZWx7pIsINH6nVqW7ys9cg,YPavuOh2XsnRbLfl0DH2lQ,xnh9h25zHwaWj8b2Ur6IaA,E25-2ssHwsajyGtsllMXaA,h_hg33vb0OsWsE6T1SHAgw,52sY8-9al5LJi475nNJkyQ,TT2bNjvnVNFOanDNYnAffQ,8C4R3FLXERdrMtiD5YdLYA,oo-kGk1BEWpuDvSE4gfmgQ,AhPmh0NaRDbEYyhd9egzLA,3C5Z9homtzkWHouH2BHXYQ,UUtWoDyREiy9MPdtTRFUYQ,8qJwryCGIsF0bSmYqhHz5w,umrDQGRNied77aVg29_fVw,cTZmf7B-4yciMc1WKiCVOA,qnn9E-e9orYf_wK37yLTYw,-Ht7HiGBox8lS1Y8IPjO8g,P8IsTiHq5Hesa6UPL604ww
3,W-5cdzVAeRv0EtAeed4tqw,"Hot Dogs, Fast Food, Restaurants, Middle Eastern",9,8941 N Central Ave,3.8,Sam's Gyros,aw0H9O1yysoHB0JanT0Ubw,0N2y8rNxbet6p4UIBWTOrw,ylxqmxh2gO1yCpQkIk6o3A,sLKpRaFns5Uqw1IEzK6obA,cq6SQkWKVT3TH-6YzGFn4g,Qng9lEqWA9uTtm6oq2rZuw,len2nrEtgD9bjnoYSyLPjA,GQxpWDw3MuCwAMV9BA-62w,FJrI8DmhZX55GLS2eWasZA,rYI_Dvw8ixOE-Hud-PWzbQ,1E1Qp9HWSZmqruir3sTeKw,XbkpdDXhunFhAWLNRAiVIw,0obhg2Jv22z6Mkvl3zGaiQ,tT5kEAq2DFTKqc6mJ9ptCg,p_-fGCrpUQZXSO6sGAs6Tg,EFTYg_jOPf3abjWIPO92Cg,oM_iooopkwnS7XnVS5kqlQ,uhyDNWYRSsom3VrFgOgP_w,9tKSEjLCJowSkxze0NiFig,Zp9RMGJKVc9Qkhj4QqyROw
4,eCJDiRPoSuA0bsb7F1gNUA,"Fast Food, Chinese, Szechuan, Asian Fusion, Restaurants",49,"2510 W Thunderbird Rd, Ste 9",3.8979591836734695,Asian Cafe,YBIhTjmEH3IEZW4Dr5ReRA,UUtWoDyREiy9MPdtTRFUYQ,pdy6EAcJvZks1hKogxOj6Q,cJzv3fbd7jL2ZHyFosFkOw,eZQbDYQTZk0_cBroVxnPWg,URFhSrJPk7JM2pUtsuWsAg,myw0csRck6XG4w5Z-EFyqg,tDYcVluqZwieulc1iqxGXg,QDJBn7I1EdtP9w4nYT24Pw,_287i8ZeEf0H1LiqPhyvBg,aJR1iUWwNVBM692gq7adBA,mRubgo8WfjraJkE5Bvbf6w,dHTGzM4_3kKEiQvab9mi9A,R7-3MCD6_RL_VxN65yCh2Q,nBwOIq5KI-zmxp061dTmgw,SVMR0kRmdd-bbSNTTECJBA,rgTcICdtCXoNXc71Z7-t5g,9ULcHyUTN1O16Vr8KUMQew,fnaDx7UD4MiodQlgYHDwsQ,tFcmrGLZNEymSnijoTPmqw
5,a_E-rLe2zcyX-X4FKhWWRg,"Restaurants, Mexican",14,2808 W Mcdowell Rd,2.9285714285714284,Tacos y Mariscos Sinaloa,frCxZS7lPhEnQRJ3UY6m7A,AhPmh0NaRDbEYyhd9egzLA,DaVTuhzi6EgWStb2eAjNjA,P8IsTiHq5Hesa6UPL604ww,pDewiJY6KCcZgLxxgxg13Q,qnn9E-e9orYf_wK37yLTYw,xZhNZb01n9b4e2X7bZdoVQ,-bMZCfTK7fxFaURynKpBMA,9MVKjEMN5T59uzG1xoD2BQ,3C5Z9homtzkWHouH2BHXYQ,nwHd2MbIGz0SNG8GpFjekw,zJGtD3y-pAIGNId4codEEg,eS29S_06lvsDW04wVrIVxg,G_mqw9nNYDFkwtCe5Jd8QA,W537pidoTVQmn9x1GPpxgA,jIzygnVmajEXYmfsBNY_Gw,9vub2LM7Djy8P-LPumcLXA,KMxOoHyRKP74PgosuRkkdg,TH_Vr8_LCnAXFDUqSkF-HA,2Yq-Y-tDroP7mdDfcWJLCQ
6,ccQhq9pSd_5wj1yMwiM7iA,"Mexican, Restaurants",4,949 W Camelback Rd,3.4,Amando's Bros,T-KniGykrZ46ZC9plOTspw,WOz66UuVsfc2K9GxzfDnGg,QDRFdG8gPPKL7r4yic8j7Q,VoTi4yVhTVyFdmxUpoyUsg,KBP7x08WfD__BUoE4kY0lg,URwrgfuyfpVqgnKwkawlHw,P8IsTiHq5Hesa6UPL604ww,sS__otwzn0INyR_5Dimfdg,R6cWq0FkVfV_Ee-YttlPyA,Tc1ly-0VLk3AaoMb7CrlVA,rNNVuA-xq1SVEQaLzrK4bw,SvoIBKec8s1kOARX_3EKXw,qYNl7Qh-YetWdMQTzX-jZA,daLsASi-J8zee8cpZSnqjQ,UJewG9UgVXQ7fyP4UHwnxw,JlNeaOymdVbE6_bubqjohg,jKndHanZV4fygbNHWK5Xnw,Q7bAF6MrZ8wWfLsxaPl2Yw,NhGkSF9UB3hiDKUY9roHBg,yb7ZtgMWSZboG_sSUx9g2A
7,lpQziF9QCVZQRkxac1xzcw,"Restaurants, American (Traditional), Bars, Cocktail Bars, Arcades, Wine Bars, Nightlife, Arts & Entertainment",123,"24 W Camelback Rd, Ste DE",4.267716535433071,Bonus Round,f2z4RM_ungk_zQwcpZcpcQ,Cp-clhAJs3NJRwXpXk_saw,sR9hPrIaG-J-GLcl4yaiLw,8-_jXGGDFPFAPB4r1x-81w,YmIYjZGnuZzqVPkFBF4Omw,LR1JNvpNrx2N4HNAyhHvrg,plWuv4gda7m0KlqCNhrb4w,Gz9SlLqxS6wnxPvgdOQNrA,042IHd5KjHiMuBtGtugO_g,9yESUcIVarhYEabIMj844Q,PfSW2cTJyx2-q6T39sevow,Kr2EJ05h5BXHlytYBgShGw,YlwJYpBWa-oL0byTVPNKRQ,l8k4gOEkfoLKq0mPVWHWGg,mnwRtuVQEsIUomBchu0gwg,3QQEc5QUP-h6LCkUZQEYQw,UESdOMLsXn_7WcwOZt7I3A,EV1jAj7NFNmNIqOnwZ4Acw,E9IPxXY6pS2gTW2FBkAJmg,7Q2cYSl5NBYytJzgjX0oKw
8,Hgy5MrIKrwRJDXnwKaCpbA,"Restaurants, Mexican",139,4601 E Thomas Rd,3.202797202797203,Garcia's,X6YpIqhaP_qoSZJRBcivGw,zwmps5SXn30g-f5wqg_r9A,FoKx_RP4kUM-aiGo3wlUUw,xZhNZb01n9b4e2X7bZdoVQ,pDewiJY6KCcZgLxxgxg13Q,5KheTjYPu1HcQzQFtm4_vw,-rCIoxp7pqN3xY7E3-v56Q,JfHXzulF6yIKgA22YYPedw,cKRMmytHxaSt8F0SMEzKqg,50NTSGbZ3pN5643_K1IReA,YM-nYIHd99qUt9n62AxIAg,TH_Vr8_LCnAXFDUqSkF-HA,PQWE8a6Opjiuzt7DaX2R6Q,iIjVO7cLD1UEmIO7G05Ujw,qnn9E-e9orYf_wK37yLTYw,TEaBolNAkOdRm2gvIYz4OQ,ZCe93zAkxr2KOBU1NT0lmg,DaVTuhzi6EgWStb2eAjNjA,Ktia9NJfvxVxTLVcEnw9zQ,SxelcKtJlN6X2Vlak0wXHw
9,YOD9dXrnpu8HTRILpF0onw,"Italian, Restaurants",297,718 E Union Hills Dr,3.8284789644012944,Times Square Neighborhood Italian Restaurant,u9R0_pvEkl7QGPJYH3j1sg,JBrBsKpw0bbXK5nlrXVOYQ,wTjvgkUJMVWrYed9mXdQjg,_e3rChyednoh47n2cjGv2w,EUQoB_ph7_xIyj7JZGI3bg,dUffgo9Lh_Vk9TLuFR5ywg,h-bBnFFTZ2cNiuBMFu2UaQ,EDcZRvERC22Cvw1yi4-VKg,wWDNwNb6ygJorKujOuifhA,iwzVhM5CirzkNS5wTxwZeA,CElwRv4CtK56NljAuCwepw,k1QpHAkzKTrFYfk6u--VgQ,VRC7J-ahI4em9ddhihxq5w,uOJ87zqbU1MtShCSHDkiyw,mYlNFkIiFY3SyDl-nPWR5g,roz-ed8kvBF6fwKBPeJ49Q,nK4PaQEpSXW6-2F_hID6pg,yNPh5SO-7wr8HPpVCDPbXQ,-Ht7HiGBox8lS1Y8IPjO8g,oryS4vX0xkKC4tOekgowDQ
